T,H,algo,mean,lo,hi
100,100,known_em10,0.1416666666666667,0.1,0.184
100,100,known_stage1,0.20766666666666672,0.175,0.2416666666666667
100,100,oracle,0.009333333333333341,0.006000000000000005,0.013000000000000012
100,100,unknown_c11e-01_c21e-01_em10,0.6113333333333333,0.6006666666666668,0.6216666666666667
100,100,unknown_c11e-01_c21e-01_stage1,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-01_c21e-02_em10,0.6113333333333333,0.6006666666666668,0.6216666666666665
100,100,unknown_c11e-01_c21e-02_stage1,0.6113333333333333,0.6000000000000001,0.6216666666666666
100,100,unknown_c11e-01_c21e-03_em10,0.6113333333333333,0.6006666666666667,0.6216666666666667
100,100,unknown_c11e-01_c21e-03_stage1,0.6113333333333333,0.6009999999999999,0.6216666666666666
100,100,unknown_c11e-01_c25e-02_em10,0.6113333333333333,0.6006666666666668,0.6213333333333334
100,100,unknown_c11e-01_c25e-02_stage1,0.6113333333333333,0.6003333333333334,0.6213333333333334
100,100,unknown_c11e-01_c25e-03_em10,0.6113333333333333,0.6006666666666668,0.6213416666666667
100,100,unknown_c11e-01_c25e-03_stage1,0.6113333333333333,0.6003333333333334,0.6213333333333334
100,100,unknown_c11e-02_c21e-01_em10,0.6113333333333333,0.6006666666666668,0.6216666666666667
100,100,unknown_c11e-02_c21e-01_stage1,0.6113333333333333,0.6003333333333335,0.6216666666666666
100,100,unknown_c11e-02_c21e-02_em10,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-02_c21e-02_stage1,0.6113333333333333,0.6006666666666668,0.6213333333333334
100,100,unknown_c11e-02_c21e-03_em10,0.6113333333333333,0.6003333333333334,0.6216666666666665
100,100,unknown_c11e-02_c21e-03_stage1,0.6113333333333333,0.6003333333333335,0.6213333333333334
100,100,unknown_c11e-02_c25e-02_em10,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-02_c25e-02_stage1,0.6113333333333333,0.6003333333333333,0.6216666666666665
100,100,unknown_c11e-02_c25e-03_em10,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-02_c25e-03_stage1,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-03_c21e-01_em10,0.31033333333333335,0.29333333333333333,0.32599999999999996
100,100,unknown_c11e-03_c21e-01_stage1,0.5133333333333333,0.4843333333333334,0.5416666666666666
100,100,unknown_c11e-03_c21e-02_em10,0.253,0.20833333333333334,0.29866666666666664
100,100,unknown_c11e-03_c21e-02_stage1,0.5206666666666667,0.49499166666666655,0.5466666666666667
100,100,unknown_c11e-03_c21e-03_em10,0.269,0.223,0.3143333333333333
100,100,unknown_c11e-03_c21e-03_stage1,0.528,0.5013333333333333,0.5536666666666666
100,100,unknown_c11e-03_c25e-02_em10,0.16033333333333336,0.11333333333333334,0.20600000000000002
100,100,unknown_c11e-03_c25e-02_stage1,0.48500000000000004,0.4566666666666667,0.512
100,100,unknown_c11e-03_c25e-03_em10,0.2593333333333333,0.21366666666666667,0.304675
100,100,unknown_c11e-03_c25e-03_stage1,0.5240000000000001,0.49866666666666665,0.55
100,200,known_em10,0.0023333333333333353,0.0006666666666666673,0.0043333333333333375
100,200,known_stage1,0.01366666666666668,0.009000000000000008,0.019000000000000017
100,200,oracle,0.00033333333333333365,0.0,0.0010000000000000009
100,200,unknown_c11e-01_c21e-01_em10,0.6153333333333334,0.6063333333333334,0.6236666666666666
100,200,unknown_c11e-01_c21e-01_stage1,0.6153333333333334,0.6063333333333334,0.6233416666666667
100,200,unknown_c11e-01_c21e-02_em10,0.6153333333333334,0.6063333333333334,0.6236666666666666
100,200,unknown_c11e-01_c21e-02_stage1,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-01_c21e-03_em10,0.6153333333333334,0.6060000000000001,0.6233416666666666
100,200,unknown_c11e-01_c21e-03_stage1,0.6153333333333334,0.6063333333333335,0.6236666666666667
100,200,unknown_c11e-01_c25e-02_em10,0.6153333333333334,0.6063333333333334,0.6233333333333334
100,200,unknown_c11e-01_c25e-02_stage1,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-01_c25e-03_em10,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-01_c25e-03_stage1,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-02_c21e-01_em10,0.6153333333333334,0.6063333333333334,0.6233333333333333
100,200,unknown_c11e-02_c21e-01_stage1,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-02_c21e-02_em10,0.6153333333333334,0.6063333333333333,0.6236666666666666
100,200,unknown_c11e-02_c21e-02_stage1,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-02_c21e-03_em10,0.6153333333333334,0.6060000000000001,0.6233416666666666
100,200,unknown_c11e-02_c21e-03_stage1,0.6153333333333334,0.6063333333333334,0.6236666666666666
100,200,unknown_c11e-02_c25e-02_em10,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-02_c25e-02_stage1,0.6153333333333334,0.6063333333333334,0.6233333333333333
100,200,unknown_c11e-02_c25e-03_em10,0.6153333333333334,0.6066666666666666,0.6233333333333334
100,200,unknown_c11e-02_c25e-03_stage1,0.6153333333333334,0.6069999999999999,0.6236666666666667
100,200,unknown_c11e-03_c21e-01_em10,0.21366666666666664,0.15966666666666668,0.263
100,200,unknown_c11e-03_c21e-01_stage1,0.44133333333333336,0.409,0.4716666666666666
100,200,unknown_c11e-03_c21e-02_em10,0.03633333333333334,0.028000000000000018,0.04566666666666667
100,200,unknown_c11e-03_c21e-02_stage1,0.41833333333333333,0.392,0.4436666666666666
100,200,unknown_c11e-03_c21e-03_em10,0.05866666666666668,0.04033333333333335,0.08333333333333333
100,200,unknown_c11e-03_c21e-03_stage1,0.4263333333333334,0.40133333333333326,0.45099999999999996
100,200,unknown_c11e-03_c25e-02_em10,0.02466666666666667,0.0050000000000000044,0.05000000000000001
100,200,unknown_c11e-03_c25e-02_stage1,0.4059999999999999,0.37699999999999995,0.43433333333333335
100,200,unknown_c11e-03_c25e-03_em10,0.05433333333333334,0.03666666666666669,0.08
100,200,unknown_c11e-03_c25e-03_stage1,0.42333333333333345,0.39733333333333326,0.4483333333333333
100,300,known_em10,0.0,0.0,0.0
100,300,known_stage1,0.0010000000000000009,0.0,0.0020000000000000018
100,300,oracle,0.0,0.0,0.0
100,300,unknown_c11e-01_c21e-01_em10,0.614,0.6053333333333335,0.6226666666666667
100,300,unknown_c11e-01_c21e-01_stage1,0.614,0.6053333333333332,0.6223333333333333
100,300,unknown_c11e-01_c21e-02_em10,0.614,0.6053333333333332,0.6226666666666667
100,300,unknown_c11e-01_c21e-02_stage1,0.614,0.6053333333333335,0.6226666666666667
100,300,unknown_c11e-01_c21e-03_em10,0.614,0.6053333333333334,0.6226666666666667
100,300,unknown_c11e-01_c21e-03_stage1,0.614,0.6050000000000001,0.6223333333333334
100,300,unknown_c11e-01_c25e-02_em10,0.614,0.6053333333333332,0.6226666666666667
100,300,unknown_c11e-01_c25e-02_stage1,0.614,0.6053333333333334,0.6223333333333334
100,300,unknown_c11e-01_c25e-03_em10,0.614,0.6056666666666666,0.6226666666666667
100,300,unknown_c11e-01_c25e-03_stage1,0.614,0.6053333333333334,0.6223333333333333
100,300,unknown_c11e-02_c21e-01_em10,0.614,0.6050000000000001,0.6226666666666668
100,300,unknown_c11e-02_c21e-01_stage1,0.614,0.6053333333333334,0.6223333333333334
100,300,unknown_c11e-02_c21e-02_em10,0.614,0.6053249999999999,0.6226666666666667
100,300,unknown_c11e-02_c21e-02_stage1,0.614,0.6053333333333335,0.6223333333333333
100,300,unknown_c11e-02_c21e-03_em10,0.614,0.6053333333333334,0.6226666666666668
100,300,unknown_c11e-02_c21e-03_stage1,0.614,0.6053333333333335,0.6226666666666667
100,300,unknown_c11e-02_c25e-02_em10,0.614,0.6053333333333335,0.6226666666666667
100,300,unknown_c11e-02_c25e-02_stage1,0.614,0.6053333333333335,0.6223333333333334
100,300,unknown_c11e-02_c25e-03_em10,0.614,0.6056666666666667,0.6226666666666667
100,300,unknown_c11e-02_c25e-03_stage1,0.614,0.605,0.6226666666666666
100,300,unknown_c11e-03_c21e-01_em10,0.09433333333333334,0.042658333333333326,0.147
100,300,unknown_c11e-03_c21e-01_stage1,0.3493333333333333,0.3206666666666667,0.37766666666666654
100,300,unknown_c11e-03_c21e-02_em10,0.032333333333333346,0.021666666666666678,0.04466666666666667
100,300,unknown_c11e-03_c21e-02_stage1,0.33633333333333343,0.31466666666666665,0.35800000000000004
100,300,unknown_c11e-03_c21e-03_em10,0.038333333333333344,0.027666666666666687,0.050333333333333355
100,300,unknown_c11e-03_c21e-03_stage1,0.34166666666666673,0.3196666666666667,0.36366666666666664
100,300,unknown_c11e-03_c25e-02_em10,0.014333333333333342,0.008000000000000004,0.021333333333333346
100,300,unknown_c11e-03_c25e-02_stage1,0.32599999999999996,0.30433333333333334,0.3476666666666667
100,300,unknown_c11e-03_c25e-03_em10,0.036666666666666674,0.026000000000000013,0.04866666666666667
100,300,unknown_c11e-03_c25e-03_stage1,0.34,0.318,0.3623333333333333
100,400,known_em10,0.0,0.0,0.0
100,400,known_stage1,0.0,0.0,0.0
100,400,oracle,0.0,0.0,0.0
100,400,unknown_c11e-01_c21e-01_em10,0.6123333333333334,0.6036666666666668,0.6203333333333333
100,400,unknown_c11e-01_c21e-01_stage1,0.6123333333333334,0.6039999999999999,0.6203333333333334
100,400,unknown_c11e-01_c21e-02_em10,0.6123333333333334,0.6036666666666668,0.6203333333333334
100,400,unknown_c11e-01_c21e-02_stage1,0.6123333333333334,0.6036666666666667,0.6203333333333334
100,400,unknown_c11e-01_c21e-03_em10,0.6123333333333334,0.6033333333333334,0.6203333333333333
100,400,unknown_c11e-01_c21e-03_stage1,0.6123333333333334,0.6039999999999999,0.6206666666666666
100,400,unknown_c11e-01_c25e-02_em10,0.6123333333333334,0.6036666666666667,0.6206666666666666
100,400,unknown_c11e-01_c25e-02_stage1,0.6123333333333334,0.6039999999999999,0.6203333333333333
100,400,unknown_c11e-01_c25e-03_em10,0.6123333333333334,0.6036666666666667,0.6203333333333334
100,400,unknown_c11e-01_c25e-03_stage1,0.6123333333333334,0.6033333333333334,0.6203416666666666
100,400,unknown_c11e-02_c21e-01_em10,0.6123333333333334,0.6036666666666667,0.6203333333333334
100,400,unknown_c11e-02_c21e-01_stage1,0.6123333333333334,0.6036666666666668,0.6203333333333332
100,400,unknown_c11e-02_c21e-02_em10,0.6123333333333334,0.6036666666666667,0.6206666666666667
100,400,unknown_c11e-02_c21e-02_stage1,0.6123333333333334,0.6036666666666668,0.6203333333333334
100,400,unknown_c11e-02_c21e-03_em10,0.6123333333333334,0.6036666666666667,0.6203333333333333
100,400,unknown_c11e-02_c21e-03_stage1,0.6123333333333334,0.6036666666666668,0.6203333333333334
100,400,unknown_c11e-02_c25e-02_em10,0.6123333333333334,0.6033333333333334,0.6206666666666667
100,400,unknown_c11e-02_c25e-02_stage1,0.6123333333333334,0.6039916666666666,0.6203333333333333
100,400,unknown_c11e-02_c25e-03_em10,0.6123333333333334,0.604,0.6203333333333334
100,400,unknown_c11e-02_c25e-03_stage1,0.6123333333333334,0.6036583333333333,0.6206666666666667
100,400,unknown_c11e-03_c21e-01_em10,0.021000000000000005,0.0,0.05200000000000001
100,400,unknown_c11e-03_c21e-01_stage1,0.23,0.201,0.2616666666666666
100,400,unknown_c11e-03_c21e-02_em10,0.03700000000000001,0.025000000000000012,0.05099999999999998
100,400,unknown_c11e-03_c21e-02_stage1,0.24266666666666667,0.22166666666666665,0.263
100,400,unknown_c11e-03_c21e-03_em10,0.042000000000000016,0.03166666666666668,0.05266666666666668
100,400,unknown_c11e-03_c21e-03_stage1,0.24799999999999997,0.22733333333333341,0.26799999999999996
100,400,unknown_c11e-03_c25e-02_em10,0.014333333333333345,0.009666666666666676,0.019666666666666683
100,400,unknown_c11e-03_c25e-02_stage1,0.23033333333333333,0.209,0.25166666666666665
100,400,unknown_c11e-03_c25e-03_em10,0.038666666666666676,0.027666666666666683,0.05000000000000001
100,400,unknown_c11e-03_c25e-03_stage1,0.245,0.225,0.265
100,500,known_em10,0.0,0.0,0.0
100,500,known_stage1,0.0,0.0,0.0
100,500,oracle,0.0,0.0,0.0
100,500,unknown_c11e-01_c21e-01_em10,0.6180000000000001,0.6069916666666666,0.6276666666666666
100,500,unknown_c11e-01_c21e-01_stage1,0.6180000000000001,0.607,0.6279999999999999
100,500,unknown_c11e-01_c21e-02_em10,0.6180000000000001,0.6066666666666668,0.6276666666666666
100,500,unknown_c11e-01_c21e-02_stage1,0.6180000000000001,0.6073333333333333,0.6276666666666667
100,500,unknown_c11e-01_c21e-03_em10,0.6180000000000001,0.607,0.6276666666666666
100,500,unknown_c11e-01_c21e-03_stage1,0.6180000000000001,0.6073249999999999,0.6273333333333333
100,500,unknown_c11e-01_c25e-02_em10,0.6180000000000001,0.607,0.628
100,500,unknown_c11e-01_c25e-02_stage1,0.6180000000000001,0.607,0.6276666666666666
100,500,unknown_c11e-01_c25e-03_em10,0.6180000000000001,0.607,0.6276666666666667
100,500,unknown_c11e-01_c25e-03_stage1,0.6180000000000001,0.607,0.6279999999999999
100,500,unknown_c11e-02_c21e-01_em10,0.6180000000000001,0.607,0.628
100,500,unknown_c11e-02_c21e-01_stage1,0.6180000000000001,0.6066666666666667,0.6276749999999999
100,500,unknown_c11e-02_c21e-02_em10,0.6180000000000001,0.6073333333333332,0.6276666666666666
100,500,unknown_c11e-02_c21e-02_stage1,0.6180000000000001,0.6066666666666667,0.6276666666666667
100,500,unknown_c11e-02_c21e-03_em10,0.6180000000000001,0.6066666666666667,0.6276666666666667
100,500,unknown_c11e-02_c21e-03_stage1,0.6180000000000001,0.6066666666666668,0.6273333333333333
100,500,unknown_c11e-02_c25e-02_em10,0.6180000000000001,0.6066666666666668,0.628
100,500,unknown_c11e-02_c25e-02_stage1,0.6180000000000001,0.6066666666666667,0.6276666666666666
100,500,unknown_c11e-02_c25e-03_em10,0.6180000000000001,0.607,0.628
100,500,unknown_c11e-02_c25e-03_stage1,0.6180000000000001,0.6066666666666668,0.628
100,500,unknown_c11e-03_c21e-01_em10,0.00366666666666667,0.0010000000000000009,0.00733333333333334
100,500,unknown_c11e-03_c21e-01_stage1,0.16099999999999998,0.14366666666666666,0.17834166666666657
100,500,unknown_c11e-03_c21e-02_em10,0.026000000000000016,0.01566666666666668,0.040333333333333346
100,500,unknown_c11e-03_c21e-02_stage1,0.178,0.15866666666666665,0.19633333333333336
100,500,unknown_c11e-03_c21e-03_em10,0.02966666666666668,0.019000000000000017,0.04366666666666666
100,500,unknown_c11e-03_c21e-03_stage1,0.18166666666666664,0.16366666666666665,0.2003333333333333
100,500,unknown_c11e-03_c25e-02_em10,0.023666666666666683,0.014000000000000012,0.036666666666666695
100,500,unknown_c11e-03_c25e-02_stage1,0.176,0.157,0.194
100,500,unknown_c11e-03_c25e-03_em10,0.028333333333333353,0.018000000000000016,0.04233333333333335
100,500,unknown_c11e-03_c25e-03_stage1,0.18033333333333332,0.16166666666666665,0.19899999999999995
100,600,known_em10,0.0,0.0,0.0
100,600,known_stage1,0.0,0.0,0.0
100,600,oracle,0.0,0.0,0.0
100,600,unknown_c11e-01_c21e-01_em10,0.6136666666666668,0.604,0.6226666666666668
100,600,unknown_c11e-01_c21e-01_stage1,0.6136666666666668,0.6043333333333334,0.6226666666666667
100,600,unknown_c11e-01_c21e-02_em10,0.6136666666666668,0.6036666666666668,0.6229999999999998
100,600,unknown_c11e-01_c21e-02_stage1,0.6136666666666668,0.6039999999999999,0.6226666666666667
100,600,unknown_c11e-01_c21e-03_em10,0.6136666666666668,0.6043333333333333,0.6226666666666668
100,600,unknown_c11e-01_c21e-03_stage1,0.6136666666666668,0.6040000000000002,0.6226666666666667
100,600,unknown_c11e-01_c25e-02_em10,0.6136666666666668,0.6040000000000002,0.6226666666666667
100,600,unknown_c11e-01_c25e-02_stage1,0.6136666666666668,0.6040000000000002,0.623
100,600,unknown_c11e-01_c25e-03_em10,0.6136666666666668,0.604,0.6223416666666667
100,600,unknown_c11e-01_c25e-03_stage1,0.6136666666666668,0.6043333333333334,0.6226666666666667
100,600,unknown_c11e-02_c21e-01_em10,0.6136666666666668,0.604,0.6229999999999999
100,600,unknown_c11e-02_c21e-01_stage1,0.6136666666666668,0.6039999999999999,0.6226666666666668
100,600,unknown_c11e-02_c21e-02_em10,0.6136666666666668,0.604,0.6226666666666668
100,600,unknown_c11e-02_c21e-02_stage1,0.6136666666666668,0.6046666666666667,0.6229999999999999
100,600,unknown_c11e-02_c21e-03_em10,0.6136666666666668,0.6043333333333333,0.6226666666666668
100,600,unknown_c11e-02_c21e-03_stage1,0.6136666666666668,0.6040000000000002,0.6226666666666668
100,600,unknown_c11e-02_c25e-02_em10,0.6136666666666668,0.6039999999999999,0.6223333333333334
100,600,unknown_c11e-02_c25e-02_stage1,0.6136666666666668,0.604,0.6226666666666668
100,600,unknown_c11e-02_c25e-03_em10,0.6136666666666668,0.6046666666666667,0.623
100,600,unknown_c11e-02_c25e-03_stage1,0.6136666666666668,0.604325,0.6226666666666666
100,600,unknown_c11e-03_c21e-01_em10,0.012333333333333344,0.007666666666666673,0.01766666666666668
100,600,unknown_c11e-03_c21e-01_stage1,0.10033333333333334,0.08700000000000001,0.11434166666666656
100,600,unknown_c11e-03_c21e-02_em10,0.01866666666666668,0.011666666666666678,0.026666666666666675
100,600,unknown_c11e-03_c21e-02_stage1,0.10566666666666664,0.09033333333333335,0.12199999999999998
100,600,unknown_c11e-03_c21e-03_em10,0.02133333333333335,0.01466666666666668,0.029000000000000015
100,600,unknown_c11e-03_c21e-03_stage1,0.10833333333333332,0.09266666666666667,0.12433333333333335
100,600,unknown_c11e-03_c25e-02_em10,0.01666666666666668,0.011666666666666678,0.02200000000000002
100,600,unknown_c11e-03_c25e-02_stage1,0.10366666666666666,0.08933333333333333,0.11866666666666666
100,600,unknown_c11e-03_c25e-03_em10,0.02066666666666668,0.01366666666666668,0.029000000000000015
100,600,unknown_c11e-03_c25e-03_stage1,0.10733333333333334,0.09233333333333334,0.12300000000000001
100,700,known_em10,0.0,0.0,0.0
100,700,known_stage1,0.0,0.0,0.0
100,700,oracle,0.0,0.0,0.0
100,700,unknown_c11e-01_c21e-01_em10,0.62,0.613,0.626675
100,700,unknown_c11e-01_c21e-01_stage1,0.62,0.613,0.6266666666666666
100,700,unknown_c11e-01_c21e-02_em10,0.62,0.6129999999999999,0.6266666666666666
100,700,unknown_c11e-01_c21e-02_stage1,0.62,0.613,0.627
100,700,unknown_c11e-01_c21e-03_em10,0.62,0.613,0.6266666666666667
100,700,unknown_c11e-01_c21e-03_stage1,0.62,0.6129999999999999,0.627
